Eno,Name,25-Apr,Last Rnk,MLBAM id,Team,Proj IP,Injury,Stuff+,Location+,Pitching+,ppERA,ppK%,ppBB%,Arsenal,K-BB,ERA,Proj OOPSY $,Blurb,,
24,Spencer Strider,25,19,675911,ATL,115,71%,98,87,86,3.14,32.7%,7.8%,81,15.0%,4.50,26.62,"The OOPSY projections say he's still a top ten pitcher, but Stuff+ says that Spencer Strider lost something in his last surgery. The radar gun agrees, too. He went from sitting 97+ before, to maxing out at that number and sitting 95 now. Some use 85 mph as a 'magic number' for sliders, where it's hard to have a bad one faster than that, and it's tough to have a good one slower than that. Strider's slider went from sitting 86 in 2023 to sitting 84 this saeson. Maybe the velo will come back with time, but three starts of velo coming back from the injured list is very predictive of future velocity, studies have found.",,
25,Michael King,18,26,650633,SDP,138,88%,101,103,104,3.65,25.8%,8.1%,42,20.9%,2.59,13.09,"If he's on the mound and healthy soon, the 15th-best strikeout-minus-walk rate in baseball means more, predictively speaking, than the slightly above-average Stuff+ number at this point in Michael King's season and career. And maybe this stint is going to be short, and this will be too low for the Padres' ace. But docking him ten-ish ranks because he's not pitching right now seems about right.",,
26,Kodai Senga,26,39,673540,NYM,163,67%,94,97,96,3.66,25.0%,10.2%,#N/A,12.4%,1.60,11.66,,,
27,Carlos Rodón,34,44,607074,NYY,184,65%,104,98,101,3.78,27.3%,8.5%,41.25,22.5%,2.60,18.38,,,
28,Luis Castillo,36,23,622491,SEA,187,88%,97,103,101,3.66,23.7%,7.3%,51,11.1%,3.03,19.10,,,
29,Robbie Ray,55,43,592662,SFG,174,53%,98,92,92,3.74,26.1%,9.4%,28.25,17.1%,2.43,14.18,,,
30,Nick Pivetta,30,55,601713,SDP,171,86%,94,113,108,3.79,26.6%,7.8%,74,21.5%,2.74,16.87,,,
31,Sonny Gray,37,38,543243,STL,185,83%,96,102,101,3.70,24.2%,6.5%,78.5,22.2%,3.65,18.08,,,
32,Jesús Luzardo,42,61,666200,PHI,169,75%,101,111,112,3.72,26.2%,7.5%,59.5,19.9%,3.58,12.50,,,
33,MacKenzie Gore,52,70,669022,WSN,179,88%,101,104,105,3.88,26.8%,8.5%,49.75,28.7%,3.16,13.18,,,
34,Kevin Gausman,44,49,592332,TOR,193,87%,102,107,109,3.81,24.5%,6.9%,47.75,19.4%,3.82,16.98,,,
35,Jack Flaherty,46,51,656427,DET,164,86%,99,102,100,3.77,25.8%,7.7%,68.25,22.0%,3.94,14.47,,,
36,Ryan Pepiot,40,35,686752,TBR,174,77%,107,104,110,3.86,23.8%,7.9%,44.5,12.8%,3.21,12.95,,,
37,Clay Holmes,24,46,605280,NYM,149,,102,103,106,3.44,23.1%,8.8%,60,13.0%,3.07,11.61,,,
38,Bryce Miller,28,15,682243,SEA,141,93%,101,92,93,3.82,22.5%,7.0%,67,7.8%,5.36,14.18,,,
39,Tanner Bibee,48,27,676440,CLE,173,93%,101,97,99,3.85,23.2%,7.1%,90,11.1%,3.86,14.92,,,
40,Eury Perez,118,101,691587,MIA,70,,#N/A,#N/A,#N/A,3.93,25.9%,7.8%,#N/A,#N/A,#N/A,8.46,,,
41,Gavin Williams,41,45,668909,CLE,161,77%,101,92,96,3.87,25.0%,10.1%,45,12.5%,3.79,10.73,,,
42,Tylor Megill,43,57,656731,NYM,135,75%,109,99,108,3.66,25.0%,9.5%,90,19.0%,3.52,3.13,,,
43,Nathan Eovaldi,47,53,543135,TEX,149,67%,99,106,105,3.65,23.4%,6.6%,70.25,23.7%,1.56,14.25,,,
44,Kris Bubic,53,152,663460,KCR,185,,95,105,103,3.94,23.0%,7.6%,,19.4%,1.43,5.60,,,
45,Shota Imanaga,32,34,684007,CHC,134,89%,99,113,112,4.03,22.1%,5.8%,11.75,11.0%,2.82,11.29,,,
46,Clarke Schmidt,64,76,657376,NYY,142,78%,101,103,105,3.84,23.8%,8.1%,39.5,12.3%,3.95,10.44,,,
47,Aaron Nola,33,25,605400,PHI,161,93%,105,104,107,3.86,23.9%,6.1%,57.75,16.4%,6.16,16.09,,,
48,Reese Olson,50,54,681857,DET,132,84%,94,99,94,3.66,23.1%,8.1%,71.25,15.9%,2.96,10.01,,,
49,Seth Lugo,69,60,607625,KCR,179,85%,97,95,91,4.23,20.1%,6.5%,87.25,11.7%,3.45,7.84,,,
50,Bailey Ober,66,52,641927,MIN,169,95%,96,105,102,4.19,22.5%,5.8%,81,13.4%,3.48,11.00,,,
51,Zac Gallen,49,41,668678,ARI,181,90%,90,103,98,3.98,23.3%,7.6%,62.5,11.6%,5.54,11.31,,,
52,Zach Eflin,79,69,621107,BAL,159,87%,95,105,99,4.04,19.9%,4.5%,64.5,11.2%,4.46,12.37,,,
53,Shane McClanahan,56,46,663556,TBR,75,,#N/A,#N/A,#N/A,3.31,26.6%,6.8%,#N/A,#N/A,#N/A,16.30,,,
54,Tyler Glasnow,16,13,607192,LAD,99,65%,96,85,88,3.24,29.0%,8.0%,64.5,15.6%,4.50,17.70,,,down
55,Corbin Burnes,21,7,669203,ARI,122,92%,102,102,108,3.60,23.6%,7.5%,65.75,14.0%,2.66,13.35,,,down
56,Blake Snell,57,11,605483,LAD,71,78%,90,109,107,3.63,28.4%,11.0%,67.75,-8.7%,2.00,9.06,,,
57,Edward Cabrera,80,94,665795,MIA,136,73%,106,100,107,3.79,25.5%,10.7%,61.5,14.7%,4.14,7.47,,,
58,Nick Lodolo,59,56,666157,CIN,161,73%,101,100,97,4.03,23.7%,6.9%,33.25,15.9%,3.10,9.69,,,
59,Ryan Weathers,136,106,677960,MIA,120,77%,108,106,115,4.08,22.2%,8.4%,47.75,17.2%,2.49,4.79,,,
60,Landen Roupp,51,81,694738,SFG,147,,99,108,106,3.81,23.5%,9.3%,,14.5%,3.54,5.75,,,
61,Matthew Boyd,82,98,571510,CHC,161,63%,96,105,96,3.93,24.1%,7.2%,59,19.1%,3.08,9.38,,,
62,Ranger Suárez,67,64,624133,PHI,139,88%,97,114,110,3.90,22.2%,7.5%,93,15.2%,2.72,7.55,,,
63,Taj Bradley,45,50,671737,TBR,179,87%,100,90,90,4.04,23.6%,8.3%,59.25,12.7%,3.95,10.65,,,
64,Max Meyer,35,108,676974,MIA,159,65%,96,107,108,4.08,22.5%,7.8%,65,16.9%,4.53,4.66,,,
65,Matthew Liberatore,62,146,669461,STL,164,#N/A,100,104,103,4.05,21.1%,7.5%,84,18.1%,3.08,3.06,,,
66,Casey Mize,84,96,663554,DET,145,63%,98,103,102,4.03,20.4%,6.8%,65.5,15.9%,2.82,6.90,,,
67,Dustin May,70,84,669160,LAD,115,,97,100,97,3.76,23.5%,8.2%,#N/A,16.2%,4.20,4.50,,,
68,Kyle Harrison,155,133,690986,SFG,79,86%,97,121,113,3.75,25.7%,8.7%,37.5,17.9%,2.51,5.82,,,
69,Hayden Birdsong,181,120,806185,SFG,129,81%,105,92,101,3.88,25.5%,10.9%,84,17.4%,2.37,4.01,,,
70,Zebby Matthews,115,148,805673,MIN,98,78%,108,105,111,3.78,24.0%,5.9%,53,25.8%,6.43,8.43,,,
71,David Peterson,75,82,656849,NYM,157,85%,90,100,94,3.89,22.0%,8.8%,69.5,13.3%,2.69,6.42,,,
72,Sandy Alcantara,38,37,645261,MIA,164,,108,93,101,3.90,21.4%,7.6%,#N/A,4.6%,8.47,12.46,,,
73,Will Warren,65,85,701542,NYY,145,,102,99,103,4.03,23.6%,8.7%,44,19.4%,5.19,4.53,,,
74,Mitch Keller,96,80,656605,PIT,184,95%,96,102,99,4.07,21.4%,6.7%,68,12.5%,3.73,9.57,,,
75,Luis Severino,68,71,622663,ATH,178,71%,107,98,104,4.07,21.1%,7.7%,56,10.5%,3.89,9.32,,,
76,Yusei Kikuchi,54,42,579328,LAA,176,88%,94,105,103,4.12,24.4%,8.3%,43,8.1%,3.06,10.80,,,
77,Shane Baz,39,59,669358,TBR,164,62%,108,98,108,4.00,22.8%,9.0%,77.75,12.8%,4.92,6.93,,,
78,Jameson Taillon,103,124,592791,CHC,179,81%,97,111,106,4.18,20.0%,5.7%,69.75,14.5%,3.76,9.65,,,
79,Chris Bassitt,97,104,605135,TOR,179,85%,98,106,101,4.24,21.3%,7.6%,91.25,18.7%,3.80,7.48,,,
80,Merrill Kelly,132,116,518876,ARI,175,75%,91,104,98,4.11,21.5%,7.7%,37.75,16.5%,3.78,8.43,,,
81,Shane Bieber,158,140,669456,CLE,77,,#N/A,#N/A,#N/A,3.84,21.9%,6.3%,,#N/A,#N/A,6.67,,,
82,Luis Gil,121,100,661563,NYY,66,70%,#N/A,#N/A,#N/A,4.15,26.2%,11.3%,31.75,#N/A,#N/A,3.80,,,
83,Grayson Rodriguez,111,47,680570,BAL,47,82%,#N/A,#N/A,#N/A,3.72,25.5%,7.5%,83.5,#N/A,#N/A,4.68,,,
84,Shohei Ohtani,89,74,660271,LAD,41,64%,#N/A,#N/A,#N/A,3.62,27.5%,8.6%,#N/A,#N/A,#N/A,6.26,,,
85,Sean Manaea,91,78,640455,NYM,75,84%,#N/A,#N/A,#N/A,4.18,23.7%,8.1%,85,#N/A,#N/A,6.10,,,
86,Tyler Mahle,94,127,641816,TEX,165,55%,92,112,104,4.38,20.3%,8.1%,25.75,9.3%,1.64,5.06,,,
87,Andrew Abbott,123,131,671096,CIN,138,88%,96,96,91,4.49,23.3%,8.7%,67,18.6%,1.51,4.62,,,
88,Lance McCullers,100,,621121,HOU,120,,102,90,93,4.08,24.4%,10.0%,,16.5%,5.89,5.18,,,
89,Chad Patrick,,,694477,MIL,121,,103,100,101,4.16,21.3%,7.5%,,14.8%,2.97,2.33,,,
90,Cade Horton,,,690990,CHC,88,,97,99,98,4.04,23.2%,8.9%,,14.0%,3.98,0.24,,,
91,Luis L. Ortiz,100,89,682847,CLE,164,88%,98,96,95,4.19,21.0%,9.2%,#N/A,13.2%,4.40,2.24,,,
92,Ryne Nelson,166,159,669194,ARI,133,85%,108,100,107,4.17,19.7%,6.6%,83.5,14.2%,3.43,2.57,,,
93,José Soriano,86,72,667755,LAA,166,76%,92,110,106,4.14,20.4%,10.5%,52,5.1%,3.41,2.52,,,
94,Ben Brown,71,138,676962,CHC,135,71%,98,99,95,3.65,26.5%,9.2%,22,20.5%,5.72,7.38,,,
95,Bowden Francis,85,91,670102,TOR,155,82%,93,103,99,4.16,21.5%,6.7%,78.75,12.2%,5.04,6.84,,,
96,Michael Wacha,108,93,608379,KCR,169,76%,98,103,100,4.25,19.8%,7.2%,84,11.3%,2.88,5.92,,,
97,Brandon Pfaadt,60,48,694297,ARI,168,94%,96,102,98,4.17,21.9%,5.6%,39,12.6%,5.05,8.88,,,
98,Clayton Kershaw,,,477132,LAD,77,,95,90,87,4.17,20.7%,7.5%,,0.0%,4.91,4.21,,,
99,Griffin Canning,102,153,656288,LAA,126,86%,92,100,94,4.28,20.8%,8.7%,56.5,10.9%,3.23,0.49,,,
100,Kumar Rocker,72,75,677958,TEX,96,74%,95,102,96,3.84,23.7%,7.3%,36,11.6%,8.10,6.67,,,
101,Grant Holmes,78,65,656550,ATL,162,78%,90,102,96,4.06,23.3%,8.2%,66.75,14.0%,3.78,5.09,,,
102,Quinn Priester,81,,682990,BOS,105,82%,97,94,92,4.10,19.8%,8.0%,54.5,4.2%,4.09,3.35,,,
103,Eduardo Rodriguez,101,136,593958,ARI,134,71%,92,99,93,4.40,21.5%,8.0%,33.5,16.1%,7.05,2.24,,,
